k;g;s;v;lbl;dim;kg;A;I;W;i;U;d_D;d_t
BP-21.3X2;;"Ø21,3 (1/2"")";2;Ø21,3×2;"Ø21,3 · 1/2""";0.95;1.21;0.57;0.54;0.69;0.067;21.3;2
BP-21.3X2.3;;"Ø21,3 (1/2"")";2.3;Ø21,3×2,3;"Ø21,3 · 1/2""";1.08;1.37;0.63;0.59;0.68;0.067;21.3;2.3
BP-21.3X2.6;;"Ø21,3 (1/2"")";2.6;Ø21,3×2,6;"Ø21,3 · 1/2""";1.2;1.53;0.68;0.64;0.67;0.067;21.3;2.6
BP-21.3X2.9;;"Ø21,3 (1/2"")";2.9;Ø21,3×2,9;"Ø21,3 · 1/2""";1.32;1.68;0.73;0.68;0.66;0.067;21.3;2.9
BP-21.3X3.2;;"Ø21,3 (1/2"")";3.2;Ø21,3×3,2;"Ø21,3 · 1/2""";1.43;1.82;0.77;0.72;0.65;0.067;21.3;3.2
BP-26.9X2;;"Ø26,9 (3/4"")";2;Ø26,9×2;"Ø26,9 · 3/4""";1.23;1.56;1.22;0.91;0.88;0.085;26.9;2
BP-26.9X2.3;;"Ø26,9 (3/4"")";2.3;Ø26,9×2,3;"Ø26,9 · 3/4""";1.4;1.78;1.36;1.01;0.87;0.085;26.9;2.3
BP-26.9X2.6;;"Ø26,9 (3/4"")";2.6;Ø26,9×2,6;"Ø26,9 · 3/4""";1.56;1.98;1.48;1.1;0.86;0.085;26.9;2.6
BP-26.9X2.9;;"Ø26,9 (3/4"")";2.9;Ø26,9×2,9;"Ø26,9 · 3/4""";1.72;2.19;1.6;1.19;0.85;0.085;26.9;2.9
BP-26.9X3.2;;"Ø26,9 (3/4"")";3.2;Ø26,9×3,2;"Ø26,9 · 3/4""";1.87;2.38;1.7;1.27;0.85;0.085;26.9;3.2
BP-33.7X2;;"Ø33,7 (1"")";2;Ø33,7×2;"Ø33,7 · 1""";1.56;1.99;2.51;1.49;1.12;0.106;33.7;2
BP-33.7X2.6;;"Ø33,7 (1"")";2.6;Ø33,7×2,6;"Ø33,7 · 1""";1.99;2.54;3.09;1.84;1.1;0.106;33.7;2.6
BP-33.7X2.9;;"Ø33,7 (1"")";2.9;Ø33,7×2,9;"Ø33,7 · 1""";2.2;2.81;3.36;1.99;1.09;0.106;33.7;2.9
BP-33.7X3.2;;"Ø33,7 (1"")";3.2;Ø33,7×3,2;"Ø33,7 · 1""";2.41;3.07;3.6;2.14;1.08;0.106;33.7;3.2
BP-33.7X4;;"Ø33,7 (1"")";4;Ø33,7×4;"Ø33,7 · 1""";2.93;3.73;4.19;2.49;1.06;0.106;33.7;4
BP-42.4X2;;"Ø42,4 (1 1/4"")";2;Ø42,4×2;"Ø42,4 · 1 1/4""";1.99;2.54;5.19;2.45;1.43;0.133;42.4;2
BP-42.4X2.6;;"Ø42,4 (1 1/4"")";2.6;Ø42,4×2,6;"Ø42,4 · 1 1/4""";2.55;3.25;6.46;3.05;1.41;0.133;42.4;2.6
BP-42.4X2.9;;"Ø42,4 (1 1/4"")";2.9;Ø42,4×2,9;"Ø42,4 · 1 1/4""";2.82;3.6;7.06;3.33;1.4;0.133;42.4;2.9
BP-42.4X3.2;;"Ø42,4 (1 1/4"")";3.2;Ø42,4×3,2;"Ø42,4 · 1 1/4""";3.09;3.94;7.62;3.59;1.39;0.133;42.4;3.2
BP-42.4X4;;"Ø42,4 (1 1/4"")";4;Ø42,4×4;"Ø42,4 · 1 1/4""";3.79;4.83;8.99;4.24;1.36;0.133;42.4;4
BP-48.3X2;;"Ø48,3 (1 1/2"")";2;Ø48,3×2;"Ø48,3 · 1 1/2""";2.28;2.91;7.81;3.23;1.64;0.152;48.3;2
BP-48.3X2.6;;"Ø48,3 (1 1/2"")";2.6;Ø48,3×2,6;"Ø48,3 · 1 1/2""";2.93;3.73;9.78;4.05;1.62;0.152;48.3;2.6
