k;g;s;v;lbl;dim;kgm2;p1;p2;p3;d_t
CTD-1.5;CTD;1,5 mm;1.5;Çeta 1,5 mm;1,5 mm;13.77;27.5;43.0;62.0;1.5
CTD-2;CTD;2 mm;2;Çeta 2 mm;2 mm;17.7;35.4;55.3;79.6;2
CTD-2.5;CTD;2,5 mm;2.5;Çeta 2,5 mm;2,5 mm;21.62;43.2;67.6;97.3;2.5
CTD-3;CTD;3 mm;3;Çeta 3 mm;3 mm;25.55;51.1;79.8;115.0;3
CTD-4;CTD;4 mm;4;Çeta 4 mm;4 mm;33.4;66.8;104.4;150.3;4
CTD-5;CTD;5 mm;5;Çeta 5 mm;5 mm;41.25;82.5;128.9;185.6;5
CTD-6;CTD;6 mm;6;Çeta 6 mm;6 mm;49.1;98.2;153.4;220.9;6
CTD-8;CTD;8 mm;8;Çeta 8 mm;8 mm;64.8;129.6;202.5;291.6;8
CTD-10;CTD;10 mm;10;Çeta 10 mm;10 mm;80.5;161.0;251.6;362.2;10
CTA-1.5;CTA;1,5 / 2 mm;1.5;Çeta 1,5 / 2 mm;1,5 / 2 mm;5.06;10.1;15.8;22.8;1.5
CTA-2;CTA;2 / 3 mm;2;Çeta 2 / 3 mm;2 / 3 mm;6.42;12.8;20.1;28.9;2
CTA-2.5;CTA;2,5 / 3,5 mm;2.5;Çeta 2,5 / 3,5 mm;2,5 / 3,5 mm;7.78;15.6;24.3;35.0;2.5
CTA-3;CTA;3 / 4,5 mm;3;Çeta 3 / 4,5 mm;3 / 4,5 mm;9.13;18.3;28.5;41.1;3
CTA-4;CTA;4 / 5,5 mm;4;Çeta 4 / 5,5 mm;4 / 5,5 mm;11.84;23.7;37.0;53.3;4
CTA-5;CTA;5 / 6,5 mm;5;Çeta 5 / 6,5 mm;5 / 6,5 mm;14.55;29.1;45.5;65.5;5
CTA-6;CTA;6 / 7,5 mm;6;Çeta 6 / 7,5 mm;6 / 7,5 mm;17.26;34.5;53.9;77.7;6
CTP-1.5;CTP;1,5 mm;1.5;Çeta 1,5 mm;1,5 mm;13.7;27.4;42.8;61.6;1.5
CTP-2;CTP;2 mm;2;Çeta 2 mm;2 mm;17.66;35.3;55.2;79.5;2
CTP-2.5;CTP;2,5 mm;2.5;Çeta 2,5 mm;2,5 mm;21.62;43.2;67.6;97.3;2.5
CTP-3;CTP;3 mm;3;Çeta 3 mm;3 mm;25.59;51.2;80.0;115.2;3
CTP-4;CTP;4 mm;4;Çeta 4 mm;4 mm;33.52;67.0;104.7;150.8;4
CTP-5;CTP;5 mm;5;Çeta 5 mm;5 mm;41.45;82.9;129.5;186.5;5
CTP-6;CTP;6 mm;6;Çeta 6 mm;6 mm;49.38;98.8;154.3;222.2;6
