k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_h;d_b;d_tw;d_tf;d_r
HEA-100;;HEA 100;;HEA 100;96 × 100;16.7;21.24;349.3;133.8;72.8;26.8;4.06;2.51;0.561;96;100;5;8;12
HEA-120;;HEA 120;;HEA 120;114 × 120;19.9;25.34;606.2;230.9;106.4;38.5;4.89;3.02;0.677;114;120;5;8;12
HEA-140;;HEA 140;;HEA 140;133 × 140;24.7;31.42;1033.2;389.3;155.4;55.6;5.73;3.52;0.794;133;140;5.5;8.5;12
HEA-160;;HEA 160;;HEA 160;152 × 160;30.4;38.78;1673.2;615.6;220.2;76.9;6.57;3.98;0.906;152;160;6;9;15
HEA-180;;HEA 180;;HEA 180;171 × 180;35.5;45.26;2510.5;924.6;293.6;102.7;7.45;4.52;1.024;171;180;6;9.5;15
HEA-200;;HEA 200;;HEA 200;190 × 200;42.3;53.84;3692.6;1335.5;388.7;133.6;8.28;4.98;1.136;190;200;6.5;10;18
HEA-220;;HEA 220;;HEA 220;210 × 220;50.5;64.35;5410.3;1954.6;515.3;177.7;9.17;5.51;1.255;210;220;7;11;18
HEA-240;;HEA 240;;HEA 240;230 × 240;60.3;76.85;7764.1;2768.8;675.1;230.7;10.05;6.0;1.369;230;240;7.5;12;21
HEA-260;;HEA 260;;HEA 260;250 × 260;68.2;86.83;10456.4;3667.6;836.5;282.1;10.97;6.5;1.484;250;260;7.5;12.5;24
HEA-280;;HEA 280;;HEA 280;270 × 280;76.4;97.28;13675.0;4762.7;1013.0;340.2;11.86;7.0;1.603;270;280;8;13;24
HEA-300;;HEA 300;;HEA 300;290 × 300;88.3;112.54;18265.9;6309.6;1259.7;420.6;12.74;7.49;1.717;290;300;8.5;14;27
HEA-320;;HEA 320;;HEA 320;310 × 300;97.6;124.38;22931.4;6985.3;1479.4;465.7;13.58;7.49;1.756;310;300;9;15.5;27
HEA-340;;HEA 340;;HEA 340;330 × 300;104.8;133.49;27696.3;7436.0;1678.6;495.7;14.4;7.46;1.795;330;300;9.5;16.5;27
HEA-360;;HEA 360;;HEA 360;350 × 300;112.1;142.77;33093.4;7886.9;1891.0;525.8;15.22;7.43;1.834;350;300;10;17.5;27
HEA-400;;HEA 400;;HEA 400;390 × 300;124.8;158.99;45073.9;8563.9;2311.5;570.9;16.84;7.34;1.912;390;300;11;19;27
HEA-450;;HEA 450;;HEA 450;440 × 300;139.8;178.04;63727.5;9465.4;2896.7;631.0;18.92;7.29;2.011;440;300;11.5;21;27
HEA-500;;HEA 500;;HEA 500;490 × 300;155.1;197.55;86982.2;10367.1;3550.3;691.1;20.98;7.24;2.11;490;300;12;23;27
HEA-550;;HEA 550;;HEA 550;540 × 300;166.2;211.77;111941.4;10819.1;4146.0;721.3;22.99;7.15;2.209;540;300;12.5;24;27
HEA-600;;HEA 600;;HEA 600;590 × 300;177.8;226.47;141219.2;11271.4;4787.1;751.4;24.97;7.05;2.308;590;300;13;25;27
HEA-650;;HEA 650;;HEA 650;640 × 300;189.7;241.65;175191.4;11723.9;5474.7;781.6;26.93;6.97;2.407;640;300;13.5;26;27
HEA-700;;HEA 700;;HEA 700;690 × 300;204.5;260.49;215316.9;12178.9;6241.1;811.9;28.75;6.84;2.505;690;300;14.5;27;27
HEA-800;;HEA 800;;HEA 800;790 × 300;224.4;285.85;303468.3;12638.8;7682.7;842.6;32.58;6.65;2.698;790;300;15;28;30
HEA-900;;HEA 900;;HEA 900;890 × 300;251.6;320.55;422108.0;13547.6;9485.6;903.2;36.29;6.5;2.896;890;300;16;30;30
HEA-1000;;HEA 1000;;HEA 1000;990 × 300;272.3;346.87;553887.7;14004.5;11189.7;933.6;39.96;6.35;3.095;990;300;16.5;31;30
