k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_h;d_b;d_tw;d_tf;d_r
HEB-100;;HEB 100;;HEB 100;100 × 100;20.4;26.04;449.6;167.3;89.9;33.5;4.16;2.53;0.567;100;100;6;10;12
HEB-120;;HEB 120;;HEB 120;120 × 120;26.7;34.01;864.4;317.5;144.1;52.9;5.04;3.06;0.686;120;120;6.5;11;12
HEB-140;;HEB 140;;HEB 140;140 × 140;33.7;42.96;1509.3;549.7;215.6;78.5;5.93;3.58;0.805;140;140;7;12;12
HEB-160;;HEB 160;;HEB 160;160 × 160;42.6;54.26;2492.2;889.2;311.5;111.2;6.78;4.05;0.918;160;160;8;13;15
HEB-180;;HEB 180;;HEB 180;180 × 180;51.2;65.26;3831.4;1362.9;425.7;151.4;7.66;4.57;1.037;180;180;8.5;14;15
HEB-200;;HEB 200;;HEB 200;200 × 200;61.3;78.09;5696.6;2003.4;569.7;200.3;8.54;5.07;1.151;200;200;9;15;18
HEB-220;;HEB 220;;HEB 220;220 × 220;71.5;91.05;8091.5;2843.3;735.6;258.5;9.43;5.59;1.27;220;220;9.5;16;18
HEB-240;;HEB 240;;HEB 240;240 × 240;83.2;106.0;11260.2;3922.7;938.4;326.9;10.31;6.08;1.384;240;240;10;17;21
HEB-260;;HEB 260;;HEB 260;260 × 260;93.0;118.46;14920.8;5134.5;1147.8;395.0;11.22;6.58;1.499;260;260;10;17.5;24
HEB-280;;HEB 280;;HEB 280;280 × 280;103.1;131.38;19271.9;6594.6;1376.6;471.0;12.11;7.08;1.618;280;280;10.5;18;24
HEB-300;;HEB 300;;HEB 300;300 × 300;117.0;149.09;25168.1;8562.9;1677.9;570.9;12.99;7.58;1.732;300;300;11;19;27
HEB-320;;HEB 320;;HEB 320;320 × 300;126.7;161.36;30826.3;9238.9;1926.6;615.9;13.82;7.57;1.771;320;300;11.5;20.5;27
HEB-340;;HEB 340;;HEB 340;340 × 300;134.2;170.91;36659.6;9690.0;2156.4;646.0;14.65;7.53;1.81;340;300;12;21.5;27
HEB-360;;HEB 360;;HEB 360;360 × 300;141.8;180.65;43197.0;10141.2;2399.8;676.1;15.46;7.49;1.849;360;300;12.5;22.5;27
HEB-400;;HEB 400;;HEB 400;400 × 300;155.3;197.79;57685.1;10819.1;2884.3;721.3;17.08;7.4;1.927;400;300;13.5;24;27
HEB-450;;HEB 450;;HEB 450;450 × 300;171.1;217.99;79893.4;11721.4;3550.8;781.4;19.14;7.33;2.026;450;300;14;26;27
HEB-500;;HEB 500;;HEB 500;500 × 300;187.3;238.65;107183.2;12624.0;4287.3;841.6;21.19;7.27;2.125;500;300;14.5;28;27
HEB-550;;HEB 550;;HEB 550;550 × 300;199.4;254.07;136700.0;13077.0;4970.9;871.8;23.2;7.17;2.224;550;300;15;29;27
HEB-600;;HEB 600;;HEB 600;600 × 300;211.9;269.97;171052.2;13530.3;5701.7;902.0;25.17;7.08;2.323;600;300;15.5;30;27
HEB-650;;HEB 650;;HEB 650;650 × 300;224.8;286.35;210629.3;13984.1;6480.9;932.3;27.12;6.99;2.422;650;300;16;31;27
HEB-700;;HEB 700;;HEB 700;700 × 300;240.5;306.39;256904.0;14440.9;7340.1;962.7;28.96;6.87;2.52;700;300;17;32;27
HEB-800;;HEB 800;;HEB 800;800 × 300;262.3;334.2;359109.2;14903.8;8977.7;993.6;32.78;6.68;2.713;800;300;17.5;33;30
HEB-900;;HEB 900;;HEB 900;900 × 300;291.5;371.3;494097.7;15816.0;10979.9;1054.4;36.48;6.53;2.911;900;300;18.5;35;30
HEB-1000;;HEB 1000;;HEB 1000;1000 × 300;314.1;400.07;644789.7;16275.9;12895.8;1085.1;40.15;6.38;3.11;1000;300;19;36;30
