k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_h;d_b;d_tw;d_tf;d_r
HEM-100;;HEM 100;;HEM 100;120 × 106;41.8;53.24;1142.7;399.2;190.4;75.3;4.63;2.74;0.619;120;106;12;20;12
HEM-120;;HEM 120;;HEM 120;140 × 126;52.1;66.41;2017.6;702.8;288.2;111.6;5.51;3.25;0.738;140;126;12.5;21;12
HEM-140;;HEM 140;;HEM 140;160 × 146;63.2;80.56;3291.5;1144.3;411.4;156.8;6.39;3.77;0.857;160;146;13;22;12
HEM-160;;HEM 160;;HEM 160;180 × 166;76.2;97.06;5098.5;1758.8;566.5;211.9;7.25;4.26;0.97;180;166;14;23;15
HEM-180;;HEM 180;;HEM 180;200 × 186;88.9;113.26;7483.4;2580.1;748.3;277.4;8.13;4.77;1.089;200;186;14.5;24;15
HEM-200;;HEM 200;;HEM 200;220 × 206;103.1;131.29;10642.4;3651.2;967.5;354.5;9.0;5.27;1.203;220;206;15;25;18
HEM-220;;HEM 220;;HEM 220;240 × 226;117.3;149.45;14605.4;5012.1;1217.1;443.5;9.89;5.79;1.322;240;226;15.5;26;18
HEM-240;;HEM 240;;HEM 240;270 × 248;156.7;199.6;24290.4;8152.7;1799.3;657.5;11.03;6.39;1.46;270;248;18;32;21
HEM-260;;HEM 260;;HEM 260;290 × 268;172.4;219.66;31308.3;10448.6;2159.2;779.7;11.94;6.9;1.575;290;268;18;32.5;24
HEM-280;;HEM 280;;HEM 280;310 × 288;188.5;240.18;39549.0;13162.8;2551.5;914.1;12.83;7.4;1.694;310;288;18.5;33;24
HEM-300;;HEM 300;;HEM 300;340 × 310;237.9;303.09;59203.4;19403.2;3482.6;1251.8;13.98;8.0;1.832;340;310;21;39;27
HEM-320;;HEM 320;;HEM 320;359 × 309;245.0;312.06;68137.6;19709.4;3796.0;1275.7;14.78;7.95;1.866;359;309;21;40;27
HEM-340;;HEM 340;;HEM 340;377 × 309;247.9;315.84;76374.8;19710.8;4051.7;1275.8;15.55;7.9;1.902;377;309;21;40;27
HEM-360;;HEM 360;;HEM 360;395 × 308;250.3;318.82;84870.6;19521.8;4297.2;1267.7;16.32;7.83;1.934;395;308;21;40;27
HEM-400;;HEM 400;;HEM 400;432 × 307;255.7;325.79;104123.6;19335.6;4820.5;1259.6;17.88;7.7;2.004;432;307;21;40;27
HEM-450;;HEM 450;;HEM 450;478 × 307;263.3;335.45;131490.2;19339.1;5501.7;1259.9;19.8;7.59;2.096;478;307;21;40;27
HEM-500;;HEM 500;;HEM 500;524 × 306;270.3;344.31;161936.3;19154.8;6180.8;1251.9;21.69;7.46;2.184;524;306;21;40;27
HEM-550;;HEM 550;;HEM 550;572 × 306;278.2;354.39;197993.1;19158.5;6922.8;1252.2;23.64;7.35;2.28;572;306;21;40;27
HEM-600;;HEM 600;;HEM 600;620 × 305;285.5;363.67;237458.6;18975.5;7660.0;1244.3;25.55;7.22;2.372;620;305;21;40;27
HEM-650;;HEM 650;;HEM 650;668 × 305;293.4;373.75;281680.8;18979.2;8433.6;1244.5;27.45;7.13;2.468;668;305;21;40;27
HEM-700;;HEM 700;;HEM 700;716 × 304;300.7;383.03;329293.6;18797.5;9198.1;1236.7;29.32;7.01;2.56;716;304;21;40;27
HEM-800;;HEM 800;;HEM 800;814 × 303;317.4;404.29;442623.6;18627.5;10875.3;1229.5;33.09;6.79;2.746;814;303;21;40;30
HEM-900;;HEM 900;;HEM 900;910 × 302;332.6;423.65;570467.2;18451.9;12537.7;1222.0;36.7;6.6;2.934;910;302;21;40;30
HEM-1000;;HEM 1000;;HEM 1000;1008 × 302;348.7;444.23;722340.9;18459.4;14332.2;1222.5;40.32;6.45;3.13;1008;302;21;40;30
