k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_h;d_b;d_tw;d_tf;d_r
IPE-80;;IPE 80;;IPE 80;80 × 46;6.0;7.64;80.1;8.5;20.0;3.7;3.24;1.05;0.328;80;46;3.8;5.2;5
IPE-100;;IPE 100;;IPE 100;100 × 55;8.1;10.32;171.0;15.9;34.2;5.8;4.07;1.24;0.4;100;55;4.1;5.7;7
IPE-120;;IPE 120;;IPE 120;120 × 64;10.4;13.21;317.8;27.7;53.0;8.6;4.9;1.45;0.475;120;64;4.4;6.3;7
IPE-140;;IPE 140;;IPE 140;140 × 73;12.9;16.43;541.3;44.9;77.3;12.3;5.74;1.65;0.551;140;73;4.7;6.9;7
IPE-160;;IPE 160;;IPE 160;160 × 82;15.8;20.09;869.4;68.3;108.7;16.7;6.58;1.84;0.623;160;82;5;7.4;9
IPE-180;;IPE 180;;IPE 180;180 × 91;18.8;23.95;1317.1;100.9;146.3;22.2;7.42;2.05;0.698;180;91;5.3;8;9
IPE-200;;IPE 200;;IPE 200;200 × 100;22.4;28.49;1943.4;142.4;194.3;28.5;8.26;2.24;0.768;200;100;5.6;8.5;12
IPE-220;;IPE 220;;IPE 220;220 × 110;26.2;33.37;2772.1;204.9;252.0;37.3;9.11;2.48;0.848;220;110;5.9;9.2;12
IPE-240;;IPE 240;;IPE 240;240 × 120;30.7;39.12;3892.2;283.6;324.3;47.3;9.97;2.69;0.922;240;120;6.2;9.8;15
IPE-270;;IPE 270;;IPE 270;270 × 135;36.1;45.95;5790.5;419.9;428.9;62.2;11.23;3.02;1.041;270;135;6.6;10.2;15
IPE-300;;IPE 300;;IPE 300;300 × 150;42.2;53.82;8357.0;603.8;557.1;80.5;12.46;3.35;1.16;300;150;7.1;10.7;15
IPE-330;;IPE 330;;IPE 330;330 × 160;49.2;62.61;11768.5;788.2;713.2;98.5;13.71;3.55;1.254;330;160;7.5;11.5;18
IPE-360;;IPE 360;;IPE 360;360 × 170;57.1;72.74;16267.5;1043.5;903.8;122.8;14.95;3.79;1.353;360;170;8;12.7;18
IPE-400;;IPE 400;;IPE 400;400 × 180;66.3;84.47;23131.5;1317.8;1156.6;146.4;16.55;3.95;1.467;400;180;8.6;13.5;21
IPE-450;;IPE 450;;IPE 450;450 × 190;77.6;98.83;33747.0;1675.9;1499.9;176.4;18.48;4.12;1.605;450;190;9.4;14.6;21
IPE-500;;IPE 500;;IPE 500;500 × 200;90.7;115.53;48203.6;2141.7;1928.1;214.2;20.43;4.31;1.744;500;200;10.2;16;21
IPE-550;;IPE 550;;IPE 550;550 × 210;105.5;134.43;67124.5;2667.6;2440.9;254.1;22.35;4.45;1.877;550;210;11.1;17.2;24
IPE-600;;IPE 600;;IPE 600;600 × 220;122.5;156.0;92093.0;3387.4;3069.8;307.9;24.3;4.66;2.015;600;220;12;19;24
