k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;iv;ey;ex;U;d_a;d_b;d_t;d_r
L-20X20X3;E;20×20;3;L 20×20×3;20 × 20;0.88;1.12;0.39;0.39;0.28;0.28;0.59;0.59;0.38;0.6;0.6;0.08;20;20;3;3.5
L-20X20X4;E;20×20;4;L 20×20×4;20 × 20;1.14;1.45;0.49;0.49;0.36;0.36;0.58;0.58;0.38;0.64;0.64;0.08;20;20;4;3.5
L-25X25X3;E;25×25;3;L 25×25×3;25 × 25;1.12;1.42;0.8;0.8;0.45;0.45;0.75;0.75;0.48;0.72;0.72;0.1;25;25;3;3.5
L-25X25X4;E;25×25;4;L 25×25×4;25 × 25;1.45;1.85;1.02;1.02;0.59;0.59;0.74;0.74;0.48;0.76;0.76;0.1;25;25;4;3.5
L-25X25X5;E;25×25;5;L 25×25×5;25 × 25;1.78;2.26;1.21;1.21;0.71;0.71;0.73;0.73;0.48;0.8;0.8;0.1;25;25;5;3.5
L-30X30X3;E;30×30;3;L 30×30×3;30 × 30;1.36;1.74;1.4;1.4;0.65;0.65;0.9;0.9;0.58;0.84;0.84;0.12;30;30;3;5
L-30X30X4;E;30×30;4;L 30×30×4;30 × 30;1.78;2.27;1.8;1.8;0.85;0.85;0.89;0.89;0.58;0.88;0.88;0.12;30;30;4;5
L-30X30X5;E;30×30;5;L 30×30×5;30 × 30;2.18;2.78;2.16;2.16;1.04;1.04;0.88;0.88;0.57;0.92;0.92;0.12;30;30;5;5
L-35X35X4;E;35×35;4;L 35×35×4;35 × 35;2.09;2.67;2.95;2.95;1.18;1.18;1.05;1.05;0.68;1.0;1.0;0.14;35;35;4;5
L-35X35X5;E;35×35;5;L 35×35×5;35 × 35;2.57;3.28;3.56;3.56;1.45;1.45;1.04;1.04;0.67;1.04;1.04;0.14;35;35;5;5
L-40X40X4;E;40×40;4;L 40×40×4;40 × 40;2.42;3.08;4.47;4.47;1.55;1.55;1.21;1.21;0.78;1.12;1.12;0.16;40;40;4;6
L-40X40X5;E;40×40;5;L 40×40×5;40 × 40;2.97;3.79;5.43;5.43;1.91;1.91;1.2;1.2;0.77;1.16;1.16;0.16;40;40;5;6
L-40X40X6;E;40×40;6;L 40×40×6;40 × 40;3.52;4.48;6.31;6.31;2.26;2.26;1.19;1.19;0.77;1.2;1.2;0.16;40;40;6;6
L-45X45X5;E;45×45;5;L 45×45×5;45 × 45;3.38;4.3;7.84;7.84;2.43;2.43;1.35;1.35;0.87;1.28;1.28;0.18;45;45;5;7
L-45X45X6;E;45×45;6;L 45×45×6;45 × 45;4.0;5.09;9.16;9.16;2.88;2.88;1.34;1.34;0.87;1.32;1.32;0.18;45;45;6;7
L-50X50X4;E;50×50;4;L 50×50×4;50 × 50;3.06;3.89;8.97;8.97;2.46;2.46;1.52;1.52;0.98;1.36;1.36;0.2;50;50;4;7
L-50X50X5;E;50×50;5;L 50×50×5;50 × 50;3.77;4.8;10.96;10.96;3.05;3.05;1.51;1.51;0.97;1.4;1.4;0.2;50;50;5;7
L-50X50X6;E;50×50;6;L 50×50×6;50 × 50;4.47;5.69;12.84;12.84;3.61;3.61;1.5;1.5;0.97;1.45;1.45;0.2;50;50;6;7
L-60X60X5;E;60×60;5;L 60×60×5;60 × 60;4.57;5.82;19.36;19.36;4.44;4.44;1.82;1.82;1.17;1.64;1.64;0.24;60;60;5;8
L-60X60X6;E;60×60;6;L 60×60×6;60 × 60;5.42;6.91;22.79;22.79;5.28;5.28;1.82;1.82;1.17;1.69;1.69;0.24;60;60;6;8
L-60X60X8;E;60×60;8;L 60×60×8;60 × 60;7.09;9.03;29.15;29.15;6.89;6.89;1.8;1.8;1.16;1.77;1.77;0.24;60;60;8;8
L-65X65X7;E;65×65;7;L 65×65×7;65 × 65;6.83;8.7;33.42;33.42;7.18;7.18;1.96;1.96;1.26;1.85;1.85;0.26;65;65;7;9
L-70X70X6;E;70×70;6;L 70×70×6;70 × 70;6.38;8.13;36.87;36.87;7.27;7.27;2.13;2.13;1.37;1.93;1.93;0.28;70;70;6;9
L-70X70X7;E;70×70;7;L 70×70×7;70 × 70;7.38;9.4;42.29;42.29;8.41;8.41;2.12;2.12;1.36;1.97;1.97;0.28;70;70;7;9
L-75X75X6;E;75×75;6;L 75×75×6;75 × 75;6.87;8.75;45.55;45.55;8.35;8.35;2.28;2.28;1.47;2.04;2.04;0.3;75;75;6;10
L-75X75X8;E;75×75;8;L 75×75×8;75 × 75;9.0;11.47;58.86;58.86;10.96;10.96;2.27;2.27;1.46;2.13;2.13;0.3;75;75;8;10
L-80X80X8;E;80×80;8;L 80×80×8;80 × 80;9.63;12.27;72.23;72.23;12.57;12.57;2.43;2.43;1.56;2.25;2.25;0.32;80;80;8;10
L-80X80X10;E;80×80;10;L 80×80×10;80 × 80;11.86;15.11;87.49;87.49;15.45;15.45;2.41;2.41;1.55;2.34;2.34;0.32;80;80;10;10
L-90X90X7;E;90×90;7;L 90×90×7;90 × 90;9.61;12.24;92.52;92.52;14.13;14.13;2.75;2.75;1.77;2.45;2.45;0.36;90;90;7;11
L-90X90X8;E;90×90;8;L 90×90×8;90 × 90;10.9;13.89;104.35;104.35;16.05;16.05;2.74;2.74;1.76;2.5;2.5;0.36;90;90;8;11
L-90X90X9;E;90×90;9;L 90×90×9;90 × 90;12.18;15.52;115.81;115.81;17.92;17.92;2.73;2.73;1.76;2.54;2.54;0.36;90;90;9;11
L-90X90X10;E;90×90;10;L 90×90×10;90 × 90;13.45;17.13;126.89;126.89;19.76;19.76;2.72;2.72;1.75;2.58;2.58;0.36;90;90;10;11
L-100X100X8;E;100×100;8;L 100×100×8;100 × 100;12.18;15.51;144.8;144.8;19.94;19.94;3.06;3.06;1.96;2.74;2.74;0.4;100;100;8;12
