k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_H;d_B;d_t;d_ro;d_ri
KP-15X15X1.2;K;15×15;1.2;15×15×1,2;15 × 15;0.49;0.63;0.19;0.19;0.26;0.26;0.55;0.55;0.056;15;15;1.2;2.4;1.2
KP-15X15X1.5;K;15×15;1.5;15×15×1,5;15 × 15;0.59;0.75;0.22;0.22;0.29;0.29;0.54;0.54;0.055;15;15;1.5;3.0;1.5
KP-15X15X2;K;15×15;2;15×15×2;15 × 15;0.74;0.94;0.25;0.25;0.33;0.33;0.51;0.51;0.053;15;15;2;4;2
KP-20X20X1.2;K;20×20;1.2;20×20×1,2;20 × 20;0.68;0.87;0.5;0.5;0.5;0.5;0.76;0.76;0.076;20;20;1.2;2.4;1.2
KP-20X20X1.5;K;20×20;1.5;20×20×1,5;20 × 20;0.83;1.05;0.58;0.58;0.58;0.58;0.74;0.74;0.075;20;20;1.5;3.0;1.5
KP-20X20X2;K;20×20;2;20×20×2;20 × 20;1.05;1.34;0.69;0.69;0.69;0.69;0.72;0.72;0.073;20;20;2;4;2
KP-25X25X1.2;K;25×25;1.2;25×25×1,2;25 × 25;0.87;1.11;1.03;1.03;0.82;0.82;0.96;0.96;0.096;25;25;1.2;2.4;1.2
KP-25X25X1.5;K;25×25;1.5;25×25×1,5;25 × 25;1.06;1.35;1.22;1.22;0.97;0.97;0.95;0.95;0.095;25;25;1.5;3.0;1.5
KP-25X25X2;K;25×25;2;25×25×2;25 × 25;1.36;1.74;1.48;1.48;1.19;1.19;0.92;0.92;0.093;25;25;2;4;2
KP-25X25X2.5;K;25×25;2.5;25×25×2,5;25 × 25;1.64;2.09;1.69;1.69;1.35;1.35;0.9;0.9;0.091;25;25;2.5;5.0;2.5
KP-25X25X3;K;25×25;3;25×25×3;25 × 25;1.89;2.41;1.84;1.84;1.47;1.47;0.87;0.87;0.09;25;25;3;6;3
KP-30X30X1.2;K;30×30;1.2;30×30×1,2;30 × 30;1.06;1.35;1.83;1.83;1.22;1.22;1.17;1.17;0.116;30;30;1.2;2.4;1.2
KP-30X30X1.5;K;30×30;1.5;30×30×1,5;30 × 30;1.3;1.65;2.2;2.2;1.46;1.46;1.15;1.15;0.115;30;30;1.5;3.0;1.5
KP-30X30X2;K;30×30;2;30×30×2;30 × 30;1.68;2.14;2.72;2.72;1.81;1.81;1.13;1.13;0.113;30;30;2;4;2
KP-30X30X2.5;K;30×30;2.5;30×30×2,5;30 × 30;2.03;2.59;3.16;3.16;2.1;2.1;1.1;1.1;0.111;30;30;2.5;5.0;2.5
KP-30X30X3;K;30×30;3;30×30×3;30 × 30;2.36;3.01;3.5;3.5;2.34;2.34;1.08;1.08;0.11;30;30;3;6;3
KP-35X35X1.5;K;35×35;1.5;35×35×1,5;35 × 35;1.53;1.95;3.6;3.6;2.05;2.05;1.36;1.36;0.135;35;35;1.5;3.0;1.5
KP-35X35X2;K;35×35;2;35×35×2;35 × 35;1.99;2.54;4.51;4.51;2.58;2.58;1.33;1.33;0.133;35;35;2;4;2
KP-35X35X2.5;K;35×35;2.5;35×35×2,5;35 × 35;2.42;3.09;5.29;5.29;3.02;3.02;1.31;1.31;0.131;35;35;2.5;5.0;2.5
KP-35X35X3;K;35×35;3;35×35×3;35 × 35;2.83;3.61;5.95;5.95;3.4;3.4;1.28;1.28;0.13;35;35;3;6;3
KP-35X35X4;K;35×35;4;35×35×4;35 × 35;3.57;4.55;6.93;6.93;3.96;3.96;1.23;1.23;0.126;35;35;4;8;4
