k;g;s;v;lbl;dim;kg;A;U;d_w;d_t
LM-10X3;;10 mm;3;10×3;10 × 3;0.235;0.3;0.026;10;3
LM-10X4;;10 mm;4;10×4;10 × 4;0.314;0.4;0.028;10;4
LM-10X5;;10 mm;5;10×5;10 × 5;0.392;0.5;0.03;10;5
LM-12X3;;12 mm;3;12×3;12 × 3;0.283;0.36;0.03;12;3
LM-12X4;;12 mm;4;12×4;12 × 4;0.377;0.48;0.032;12;4
LM-12X5;;12 mm;5;12×5;12 × 5;0.471;0.6;0.034;12;5
LM-12X6;;12 mm;6;12×6;12 × 6;0.565;0.72;0.036;12;6
LM-15X3;;15 mm;3;15×3;15 × 3;0.353;0.45;0.036;15;3
LM-15X4;;15 mm;4;15×4;15 × 4;0.471;0.6;0.038;15;4
LM-15X5;;15 mm;5;15×5;15 × 5;0.589;0.75;0.04;15;5
LM-15X6;;15 mm;6;15×6;15 × 6;0.706;0.9;0.042;15;6
LM-16X3;;16 mm;3;16×3;16 × 3;0.377;0.48;0.038;16;3
LM-16X4;;16 mm;4;16×4;16 × 4;0.502;0.64;0.04;16;4
LM-16X5;;16 mm;5;16×5;16 × 5;0.628;0.8;0.042;16;5
LM-16X6;;16 mm;6;16×6;16 × 6;0.754;0.96;0.044;16;6
LM-16X8;;16 mm;8;16×8;16 × 8;1.0;1.28;0.048;16;8
LM-20X3;;20 mm;3;20×3;20 × 3;0.471;0.6;0.046;20;3
LM-20X4;;20 mm;4;20×4;20 × 4;0.628;0.8;0.048;20;4
LM-20X5;;20 mm;5;20×5;20 × 5;0.785;1.0;0.05;20;5
LM-20X6;;20 mm;6;20×6;20 × 6;0.942;1.2;0.052;20;6
LM-20X8;;20 mm;8;20×8;20 × 8;1.26;1.6;0.056;20;8
LM-20X10;;20 mm;10;20×10;20 × 10;1.57;2.0;0.06;20;10
LM-25X3;;25 mm;3;25×3;25 × 3;0.589;0.75;0.056;25;3
LM-25X4;;25 mm;4;25×4;25 × 4;0.785;1.0;0.058;25;4
LM-25X5;;25 mm;5;25×5;25 × 5;0.981;1.25;0.06;25;5
LM-25X6;;25 mm;6;25×6;25 × 6;1.18;1.5;0.062;25;6
LM-25X8;;25 mm;8;25×8;25 × 8;1.57;2.0;0.066;25;8
LM-25X10;;25 mm;10;25×10;25 × 10;1.96;2.5;0.07;25;10
LM-25X12;;25 mm;12;25×12;25 × 12;2.35;3.0;0.074;25;12
LM-30X3;;30 mm;3;30×3;30 × 3;0.706;0.9;0.066;30;3
LM-30X4;;30 mm;4;30×4;30 × 4;0.942;1.2;0.068;30;4
LM-30X5;;30 mm;5;30×5;30 × 5;1.18;1.5;0.07;30;5
LM-30X6;;30 mm;6;30×6;30 × 6;1.41;1.8;0.072;30;6
LM-30X8;;30 mm;8;30×8;30 × 8;1.88;2.4;0.076;30;8
LM-30X10;;30 mm;10;30×10;30 × 10;2.35;3.0;0.08;30;10
LM-30X12;;30 mm;12;30×12;30 × 12;2.83;3.6;0.084;30;12
LM-30X15;;30 mm;15;30×15;30 × 15;3.53;4.5;0.09;30;15
LM-35X3;;35 mm;3;35×3;35 × 3;0.824;1.05;0.076;35;3
LM-35X4;;35 mm;4;35×4;35 × 4;1.1;1.4;0.078;35;4
LM-35X5;;35 mm;5;35×5;35 × 5;1.37;1.75;0.08;35;5
LM-35X6;;35 mm;6;35×6;35 × 6;1.65;2.1;0.082;35;6
