k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_h;d_b;d_tw;d_tf;d_sl
NPI-80;;NPI 80;;NPI 80;80 × 42;5.9;7.57;77.8;6.29;19.5;3.0;3.2;0.91;0.32;80;42;3.9;5.9;0.14
NPI-100;;NPI 100;;NPI 100;100 × 50;8.3;10.6;171;12.2;34.2;4.88;4.01;1.07;0.391;100;50;4.5;6.8;0.14
NPI-120;;NPI 120;;NPI 120;120 × 58;11.1;14.2;328;21.5;54.7;7.41;4.81;1.23;0.462;120;58;5.1;7.7;0.14
NPI-140;;NPI 140;;NPI 140;140 × 66;14.3;18.2;573;35.2;81.9;10.7;5.61;1.4;0.533;140;66;5.7;8.6;0.14
NPI-160;;NPI 160;;NPI 160;160 × 74;17.9;22.8;935;54.7;117;14.8;6.4;1.55;0.603;160;74;6.3;9.5;0.14
NPI-180;;NPI 180;;NPI 180;180 × 82;21.9;27.9;1450;81.3;161;19.8;7.2;1.71;0.674;180;82;6.9;10.4;0.14
NPI-200;;NPI 200;;NPI 200;200 × 90;26.2;33.4;2140;117;214;26.0;8.0;1.87;0.745;200;90;7.5;11.3;0.14
NPI-220;;NPI 220;;NPI 220;220 × 98;31.0;39.5;3060;162;278;33.1;8.8;2.02;0.816;220;98;8.1;12.2;0.14
NPI-240;;NPI 240;;NPI 240;240 × 106;36.2;46.1;4250;221;354;41.7;9.59;2.2;0.887;240;106;8.7;13.1;0.14
NPI-260;;NPI 260;;NPI 260;260 × 113;41.8;53.3;5740;288;442;51.0;10.4;2.32;0.953;260;113;9.4;14.1;0.14
NPI-280;;NPI 280;;NPI 280;280 × 119;47.9;61.0;7590;364;542;61.2;11.1;2.45;1.016;280;119;10.1;15.2;0.14
NPI-300;;NPI 300;;NPI 300;300 × 125;54.2;69.0;9800;451;653;72.2;11.9;2.56;1.078;300;125;10.8;16.2;0.14
NPI-320;;NPI 320;;NPI 320;320 × 131;61.0;77.7;12510;555;782;84.7;12.7;2.67;1.141;320;131;11.5;17.3;0.14
NPI-340;;NPI 340;;NPI 340;340 × 137;68.1;86.7;15700;674;923;98.4;13.5;2.8;1.204;340;137;12.2;18.3;0.14
NPI-360;;NPI 360;;NPI 360;360 × 143;76.1;97.0;19610;818;1090;114;14.2;2.9;1.266;360;143;13;19.5;0.14
NPI-380;;NPI 380;;NPI 380;380 × 149;84.0;107;24010;975;1260;131;15.0;3.02;1.329;380;149;13.7;20.5;0.14
NPI-400;;NPI 400;;NPI 400;400 × 155;92.6;118;29210;1160;1460;149;15.7;3.13;1.391;400;155;14.4;21.6;0.14
NPI-450;;NPI 450;;NPI 450;450 × 170;115.4;147;45850;1730;2040;203;17.7;3.43;1.548;450;170;16.2;24.3;0.14
NPI-500;;NPI 500;;NPI 500;500 × 185;140.5;179;68740;2480;2750;268;19.6;3.72;1.704;500;185;18;27;0.14
NPI-550;;NPI 550;;NPI 550;550 × 200;166.4;212;99180;3490;3610;349;21.6;4.02;1.862;550;200;19;30;0.14
NPI-600;;NPI 600;;NPI 600;600 × 215;199.4;254;139000;4670;4630;434;23.4;4.3;2.017;600;215;21.6;32.4;0.14
