k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;e;U;d_h;d_b;d_tw;d_tf;d_sl
NPU-80;;NPU 80;;NPU 80;80 × 45;8.6;11.0;106;19.4;26.5;6.36;3.1;1.33;1.45;0.328;80;45;6;8;0.08
NPU-100;;NPU 100;;NPU 100;100 × 50;10.6;13.5;206;29.3;41.2;8.49;3.91;1.47;1.55;0.388;100;50;6;8.5;0.08
NPU-120;;NPU 120;;NPU 120;120 × 55;13.3;17.0;364;43.2;60.7;11.1;4.62;1.59;1.6;0.446;120;55;7;9;0.08
NPU-140;;NPU 140;;NPU 140;140 × 60;16.0;20.4;605;62.7;86.4;14.8;5.45;1.75;1.75;0.506;140;60;7;10;0.08
NPU-160;;NPU 160;;NPU 160;160 × 65;18.8;24.0;925;85.3;116;18.3;6.21;1.89;1.84;0.565;160;65;7.5;10.5;0.08
NPU-180;;NPU 180;;NPU 180;180 × 70;22.0;28.0;1350;114;150;22.4;6.95;2.02;1.92;0.624;180;70;8;11;0.08
NPU-200;;NPU 200;;NPU 200;200 × 75;25.3;32.2;1910;148;191;27.0;7.7;2.14;2.01;0.683;200;75;8.5;11.5;0.08
NPU-220;;NPU 220;;NPU 220;220 × 80;29.4;37.4;2690;197;245;33.6;8.48;2.3;2.14;0.742;220;80;9;12.5;0.08
NPU-240;;NPU 240;;NPU 240;240 × 85;33.2;42.3;3600;248;300;39.6;9.22;2.42;2.23;0.801;240;85;9.5;13;0.08
NPU-260;;NPU 260;;NPU 260;260 × 90;37.9;48.3;4820;317;371;47.7;9.99;2.56;2.36;0.86;260;90;10;14;0.08
NPU-280;;NPU 280;;NPU 280;280 × 95;41.8;53.3;6280;399;448;57.2;10.9;2.74;2.53;0.92;280;95;10;15;0.08
NPU-300;;NPU 300;;NPU 300;300 × 100;46.2;58.8;8030;495;535;67.8;11.7;2.9;2.7;0.98;300;100;10;16;0.08
NPU-320;;NPU 320;;NPU 320;320 × 100;59.5;75.8;10870;597;679;80.6;12.1;2.81;2.6;1.012;320;100;14;17.5;0.08
NPU-350;;NPU 350;;NPU 350;350 × 100;60.7;77.3;12840;570;734;75.0;12.9;2.72;2.4;1.072;350;100;14;16;0.08
NPU-380;;NPU 380;;NPU 380;380 × 102;63.1;80.4;15760;615;829;78.7;14.0;2.77;2.38;1.141;380;102;13.5;16;0.08
NPU-400;;NPU 400;;NPU 400;400 × 110;71.8;91.5;20350;846;1020;102;14.9;3.04;2.65;1.212;400;110;14;18;0.08
