k;g;s;v;lbl;dim;kgm2;p1;p2;p3;d_t
DKP-0.4;DKP;0,4 mm;0.4;DKP 0,4 mm;0,4 mm;3.14;6.3;9.8;14.1;0.4
DKP-0.5;DKP;0,5 mm;0.5;DKP 0,5 mm;0,5 mm;3.92;7.8;12.3;17.7;0.5
DKP-0.6;DKP;0,6 mm;0.6;DKP 0,6 mm;0,6 mm;4.71;9.4;14.7;21.2;0.6
DKP-0.7;DKP;0,7 mm;0.7;DKP 0,7 mm;0,7 mm;5.49;11.0;17.2;24.7;0.7
DKP-0.8;DKP;0,8 mm;0.8;DKP 0,8 mm;0,8 mm;6.28;12.6;19.6;28.3;0.8
DKP-0.9;DKP;0,9 mm;0.9;DKP 0,9 mm;0,9 mm;7.06;14.1;22.1;31.8;0.9
DKP-1;DKP;1 mm;1.0;DKP 1 mm;1 mm;7.85;15.7;24.5;35.3;1.0
DKP-1.2;DKP;1,2 mm;1.2;DKP 1,2 mm;1,2 mm;9.42;18.8;29.4;42.4;1.2
DKP-1.5;DKP;1,5 mm;1.5;DKP 1,5 mm;1,5 mm;11.77;23.5;36.8;53.0;1.5
DKP-2;DKP;2 mm;2.0;DKP 2 mm;2 mm;15.7;31.4;49.1;70.6;2.0
DKP-2.5;DKP;2,5 mm;2.5;DKP 2,5 mm;2,5 mm;19.62;39.2;61.3;88.3;2.5
DKP-3;DKP;3 mm;3.0;DKP 3 mm;3 mm;23.55;47.1;73.6;106.0;3.0
HRP-1.5;HRP;1,5 mm;1.5;HRP 1,5 mm;1,5 mm;11.77;23.5;36.8;53.0;1.5
HRP-2;HRP;2 mm;2;HRP 2 mm;2 mm;15.7;31.4;49.1;70.6;2
HRP-2.5;HRP;2,5 mm;2.5;HRP 2,5 mm;2,5 mm;19.62;39.2;61.3;88.3;2.5
HRP-3;HRP;3 mm;3;HRP 3 mm;3 mm;23.55;47.1;73.6;106.0;3
HRP-4;HRP;4 mm;4;HRP 4 mm;4 mm;31.4;62.8;98.1;141.3;4
HRP-5;HRP;5 mm;5;HRP 5 mm;5 mm;39.25;78.5;122.7;176.6;5
HRP-6;HRP;6 mm;6;HRP 6 mm;6 mm;47.1;94.2;147.2;211.9;6
HRP-8;HRP;8 mm;8;HRP 8 mm;8 mm;62.8;125.6;196.2;282.6;8
HRP-10;HRP;10 mm;10;HRP 10 mm;10 mm;78.5;157.0;245.3;353.2;10
HRP-12;HRP;12 mm;12;HRP 12 mm;12 mm;94.2;188.4;294.4;423.9;12
HRP-15;HRP;15 mm;15;HRP 15 mm;15 mm;117.75;235.5;368.0;529.9;15
HRP-20;HRP;20 mm;20;HRP 20 mm;20 mm;157.0;314.0;490.6;706.5;20
HRP-25;HRP;25 mm;25;HRP 25 mm;25 mm;196.25;392.5;613.3;883.1;25
HRP-30;HRP;30 mm;30;HRP 30 mm;30 mm;235.5;471.0;735.9;1059.8;30
HRP-40;HRP;40 mm;40;HRP 40 mm;40 mm;314.0;628.0;981.2;1413.0;40
HRP-50;HRP;50 mm;50;HRP 50 mm;50 mm;392.5;785.0;1226.6;1766.2;50
GLV-0.4;GLV;0,4 mm;0.4;GLV 0,4 mm;0,4 mm;3.42;6.8;10.7;15.4;0.4
GLV-0.5;GLV;0,5 mm;0.5;GLV 0,5 mm;0,5 mm;4.2;8.4;13.1;18.9;0.5
GLV-0.6;GLV;0,6 mm;0.6;GLV 0,6 mm;0,6 mm;4.99;10.0;15.6;22.4;0.6
GLV-0.7;GLV;0,7 mm;0.7;GLV 0,7 mm;0,7 mm;5.77;11.5;18.0;26.0;0.7
GLV-0.8;GLV;0,8 mm;0.8;GLV 0,8 mm;0,8 mm;6.56;13.1;20.5;29.5;0.8
GLV-1;GLV;1 mm;1.0;GLV 1 mm;1 mm;8.12;16.2;25.4;36.6;1.0
GLV-1.2;GLV;1,2 mm;1.2;GLV 1,2 mm;1,2 mm;9.7;19.4;30.3;43.6;1.2
GLV-1.5;GLV;1,5 mm;1.5;GLV 1,5 mm;1,5 mm;12.05;24.1;37.7;54.2;1.5
GLV-2;GLV;2 mm;2.0;GLV 2 mm;2 mm;15.97;31.9;49.9;71.9;2.0
GLV-2.5;GLV;2,5 mm;2.5;GLV 2,5 mm;2,5 mm;19.9;39.8;62.2;89.5;2.5
GLV-3;GLV;3 mm;3.0;GLV 3 mm;3 mm;23.82;47.6;74.5;107.2;3.0
BKL-2;BKL;2 mm;2;BKL 2 mm;2 mm;17.7;35.4;55.3;79.6;2
BKL-2.5;BKL;2,5 mm;2.5;BKL 2,5 mm;2,5 mm;21.62;43.2;67.6;97.3;2.5
BKL-3;BKL;3 mm;3;BKL 3 mm;3 mm;25.55;51.1;79.8;115.0;3
BKL-4;BKL;4 mm;4;BKL 4 mm;4 mm;33.4;66.8;104.4;150.3;4
BKL-5;BKL;5 mm;5;BKL 5 mm;5 mm;41.25;82.5;128.9;185.6;5
BKL-6;BKL;6 mm;6;BKL 6 mm;6 mm;49.1;98.2;153.4;220.9;6
BKL-8;BKL;8 mm;8;BKL 8 mm;8 mm;64.8;129.6;202.5;291.6;8
BKL-10;BKL;10 mm;10;BKL 10 mm;10 mm;80.5;161.0;251.6;362.2;10
