k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;e;U;d_h;d_b;d_t;d_r
T-20;;T 20;;T 20;20 × 20 × 3;0.9;1.15;0.41;0.21;0.29;0.21;0.59;0.42;0.6;0.08;20;20;3;3
T-25;;T 25;;T 25;25 × 25 × 3,5;1.32;1.68;0.94;0.47;0.53;0.37;0.75;0.53;0.74;0.1;25;25;3.5;3.5
T-30;;T 30;;T 30;30 × 30 × 4;1.81;2.31;1.87;0.92;0.88;0.61;0.9;0.63;0.88;0.12;30;30;4;4
T-35;;T 35;;T 35;35 × 35 × 4,5;2.38;3.03;3.36;1.64;1.36;0.94;1.05;0.74;1.03;0.14;35;35;4.5;4.5
T-40;;T 40;;T 40;40 × 40 × 5;3.03;3.86;5.6;2.72;1.98;1.36;1.2;0.84;1.17;0.16;40;40;5;5
T-45;;T 45;;T 45;45 × 45 × 5,5;3.75;4.78;8.8;4.25;2.76;1.89;1.36;0.94;1.31;0.18;45;45;5.5;5.5
T-50;;T 50;;T 50;50 × 50 × 6;4.55;5.79;13.21;6.36;3.72;2.54;1.51;1.05;1.45;0.2;50;50;6;6
T-60;;T 60;;T 60;60 × 60 × 7;6.37;8.12;26.76;12.81;6.27;4.27;1.82;1.26;1.73;0.24;60;60;7;7
T-70;;T 70;;T 70;70 × 70 × 8;8.51;10.84;48.72;23.23;9.78;6.64;2.12;1.46;2.02;0.28;70;70;8;8
T-80;;T 80;;T 80;80 × 80 × 9;10.94;13.94;82.02;38.99;14.39;9.75;2.43;1.67;2.3;0.32;80;80;9;9
T-100;;T 100;;T 100;100 × 100 × 11;16.73;21.31;196.48;93.01;27.54;18.6;3.04;2.09;2.87;0.4;100;100;11;11
T-120;;T 120;;T 120;120 × 120 × 13;23.74;30.24;402.2;189.85;46.95;31.64;3.65;2.51;3.43;0.48;120;120;13;13
T-140;;T 140;;T 140;140 × 140 × 15;31.96;40.72;738.18;347.73;73.81;49.68;4.26;2.92;4.0;0.56;140;140;15;15
