k;g;s;v;lbl;dim;kg;kgm2;we;coil;h;p;d_kind;d_h;d_p;d_rt;d_rb;d_we;d_t
TRP-20-1100-0.4;TRP;20/1100;0.4;20/1100 × 0,4 mm;hadve 20 · faydalı 1100 mm;4.27;3.88;1100;1250;20;137.5;trap;20;137.5;30;80;1100;0.4
TRP-20-1100-0.45;TRP;20/1100;0.45;20/1100 × 0,45 mm;hadve 20 · faydalı 1100 mm;4.76;4.33;1100;1250;20;137.5;trap;20;137.5;30;80;1100;0.45
TRP-20-1100-0.5;TRP;20/1100;0.5;20/1100 × 0,5 mm;hadve 20 · faydalı 1100 mm;5.25;4.77;1100;1250;20;137.5;trap;20;137.5;30;80;1100;0.5
TRP-20-1100-0.6;TRP;20/1100;0.6;20/1100 × 0,6 mm;hadve 20 · faydalı 1100 mm;6.23;5.66;1100;1250;20;137.5;trap;20;137.5;30;80;1100;0.6
TRP-20-1100-0.7;TRP;20/1100;0.7;20/1100 × 0,7 mm;hadve 20 · faydalı 1100 mm;7.21;6.56;1100;1250;20;137.5;trap;20;137.5;30;80;1100;0.7
TRP-20-1100-0.8;TRP;20/1100;0.8;20/1100 × 0,8 mm;hadve 20 · faydalı 1100 mm;8.19;7.45;1100;1250;20;137.5;trap;20;137.5;30;80;1100;0.8
TRP-27-1000-0.4;TRP;27/1000;0.4;27/1000 × 0,4 mm;hadve 27 · faydalı 1000 mm;4.27;4.27;1000;1250;27;200;trap;27;200;40;125;1000;0.4
TRP-27-1000-0.45;TRP;27/1000;0.45;27/1000 × 0,45 mm;hadve 27 · faydalı 1000 mm;4.76;4.76;1000;1250;27;200;trap;27;200;40;125;1000;0.45
TRP-27-1000-0.5;TRP;27/1000;0.5;27/1000 × 0,5 mm;hadve 27 · faydalı 1000 mm;5.25;5.25;1000;1250;27;200;trap;27;200;40;125;1000;0.5
TRP-27-1000-0.6;TRP;27/1000;0.6;27/1000 × 0,6 mm;hadve 27 · faydalı 1000 mm;6.23;6.23;1000;1250;27;200;trap;27;200;40;125;1000;0.6
TRP-27-1000-0.7;TRP;27/1000;0.7;27/1000 × 0,7 mm;hadve 27 · faydalı 1000 mm;7.21;7.21;1000;1250;27;200;trap;27;200;40;125;1000;0.7
TRP-27-1000-0.8;TRP;27/1000;0.8;27/1000 × 0,8 mm;hadve 27 · faydalı 1000 mm;8.19;8.19;1000;1250;27;200;trap;27;200;40;125;1000;0.8
TRP-27-1000-1;TRP;27/1000;1.0;27/1000 × 1 mm;hadve 27 · faydalı 1000 mm;10.16;10.16;1000;1250;27;200;trap;27;200;40;125;1000;1.0
TRP-35-1035-0.4;TRP;35/1035;0.4;35/1035 × 0,4 mm;hadve 35 · faydalı 1035 mm;4.27;4.12;1035;1250;35;207;trap;35;207;40;125;1035;0.4
TRP-35-1035-0.45;TRP;35/1035;0.45;35/1035 × 0,45 mm;hadve 35 · faydalı 1035 mm;4.76;4.6;1035;1250;35;207;trap;35;207;40;125;1035;0.45
TRP-35-1035-0.5;TRP;35/1035;0.5;35/1035 × 0,5 mm;hadve 35 · faydalı 1035 mm;5.25;5.07;1035;1250;35;207;trap;35;207;40;125;1035;0.5
TRP-35-1035-0.6;TRP;35/1035;0.6;35/1035 × 0,6 mm;hadve 35 · faydalı 1035 mm;6.23;6.02;1035;1250;35;207;trap;35;207;40;125;1035;0.6
TRP-35-1035-0.7;TRP;35/1035;0.7;35/1035 × 0,7 mm;hadve 35 · faydalı 1035 mm;7.21;6.97;1035;1250;35;207;trap;35;207;40;125;1035;0.7
TRP-35-1035-0.8;TRP;35/1035;0.8;35/1035 × 0,8 mm;hadve 35 · faydalı 1035 mm;8.19;7.92;1035;1250;35;207;trap;35;207;40;125;1035;0.8
TRP-35-1035-1;TRP;35/1035;1.0;35/1035 × 1 mm;hadve 35 · faydalı 1035 mm;10.16;9.81;1035;1250;35;207;trap;35;207;40;125;1035;1.0
TRP-38-1000-0.5;TRP;38/1000;0.5;38/1000 × 0,5 mm;hadve 38 · faydalı 1000 mm;5.25;5.25;1000;1250;38;250;trap;38;250;50;150;1000;0.5
TRP-38-1000-0.6;TRP;38/1000;0.6;38/1000 × 0,6 mm;hadve 38 · faydalı 1000 mm;6.23;6.23;1000;1250;38;250;trap;38;250;50;150;1000;0.6
TRP-38-1000-0.7;TRP;38/1000;0.7;38/1000 × 0,7 mm;hadve 38 · faydalı 1000 mm;7.21;7.21;1000;1250;38;250;trap;38;250;50;150;1000;0.7
TRP-38-1000-0.8;TRP;38/1000;0.8;38/1000 × 0,8 mm;hadve 38 · faydalı 1000 mm;8.19;8.19;1000;1250;38;250;trap;38;250;50;150;1000;0.8
TRP-38-1000-1;TRP;38/1000;1.0;38/1000 × 1 mm;hadve 38 · faydalı 1000 mm;10.16;10.16;1000;1250;38;250;trap;38;250;50;150;1000;1.0
TRP-40-900-0.5;TRP;40/900;0.5;40/900 × 0,5 mm;hadve 40 · faydalı 900 mm;5.25;5.83;900;1250;40;180;trap;40;180;40;100;900;0.5
TRP-40-900-0.6;TRP;40/900;0.6;40/900 × 0,6 mm;hadve 40 · faydalı 900 mm;6.23;6.92;900;1250;40;180;trap;40;180;40;100;900;0.6
TRP-40-900-0.7;TRP;40/900;0.7;40/900 × 0,7 mm;hadve 40 · faydalı 900 mm;7.21;8.01;900;1250;40;180;trap;40;180;40;100;900;0.7
TRP-40-900-0.8;TRP;40/900;0.8;40/900 × 0,8 mm;hadve 40 · faydalı 900 mm;8.19;9.1;900;1250;40;180;trap;40;180;40;100;900;0.8
TRP-40-900-1;TRP;40/900;1.0;40/900 × 1 mm;hadve 40 · faydalı 900 mm;10.16;11.28;900;1250;40;180;trap;40;180;40;100;900;1.0
TRP-55-900-0.6;TRP;55/900;0.6;55/900 × 0,6 mm;hadve 55 · faydalı 900 mm;6.23;6.92;900;1250;55;150;trap;55;150;40;60;900;0.6
TRP-55-900-0.7;TRP;55/900;0.7;55/900 × 0,7 mm;hadve 55 · faydalı 900 mm;7.21;8.01;900;1250;55;150;trap;55;150;40;60;900;0.7
TRP-55-900-0.8;TRP;55/900;0.8;55/900 × 0,8 mm;hadve 55 · faydalı 900 mm;8.19;9.1;900;1250;55;150;trap;55;150;40;60;900;0.8
TRP-55-900-1;TRP;55/900;1.0;55/900 × 1 mm;hadve 55 · faydalı 900 mm;10.16;11.28;900;1250;55;150;trap;55;150;40;60;900;1.0
TRP-55-900-1.2;TRP;55/900;1.2;55/900 × 1,2 mm;hadve 55 · faydalı 900 mm;12.12;13.47;900;1250;55;150;trap;55;150;40;60;900;1.2
TRP-75-825-0.7;YHT;75/825;0.7;75/825 × 0,7 mm;hadve 75 · faydalı 825 mm;7.21;8.74;825;1250;75;275;trap;75;275;60;150;825;0.7
TRP-75-825-0.8;YHT;75/825;0.8;75/825 × 0,8 mm;hadve 75 · faydalı 825 mm;8.19;9.93;825;1250;75;275;trap;75;275;60;150;825;0.8
TRP-75-825-1;YHT;75/825;1.0;75/825 × 1 mm;hadve 75 · faydalı 825 mm;10.16;12.31;825;1250;75;275;trap;75;275;60;150;825;1.0
TRP-75-825-1.2;YHT;75/825;1.2;75/825 × 1,2 mm;hadve 75 · faydalı 825 mm;12.12;14.69;825;1250;75;275;trap;75;275;60;150;825;1.2
TRP-110-685-0.75;YHT;110/685;0.75;110/685 × 0,75 mm;hadve 110 · faydalı 685 mm;7.7;11.25;685;1250;110;228;trap;110;228;60;110;685;0.75
TRP-110-685-0.88;YHT;110/685;0.88;110/685 × 0,88 mm;hadve 110 · faydalı 685 mm;8.98;13.11;685;1250;110;228;trap;110;228;60;110;685;0.88
TRP-110-685-1;YHT;110/685;1.0;110/685 × 1 mm;hadve 110 · faydalı 685 mm;10.16;14.83;685;1250;110;228;trap;110;228;60;110;685;1.0
TRP-110-685-1.25;YHT;110/685;1.25;110/685 × 1,25 mm;hadve 110 · faydalı 685 mm;12.61;18.41;685;1250;110;228;trap;110;228;60;110;685;1.25
TRP-110-685-1.5;YHT;110/685;1.5;110/685 × 1,5 mm;hadve 110 · faydalı 685 mm;15.06;21.99;685;1250;110;228;trap;110;228;60;110;685;1.5
TRP-153-850-0.75;YHT;153/850;0.75;153/850 × 0,75 mm;hadve 153 · faydalı 850 mm;9.24;10.88;850;1500;153;283;trap;153;283;60;150;850;0.75
TRP-153-850-0.88;YHT;153/850;0.88;153/850 × 0,88 mm;hadve 153 · faydalı 850 mm;10.77;12.68;850;1500;153;283;trap;153;283;60;150;850;0.88
TRP-153-850-1;YHT;153/850;1.0;153/850 × 1 mm;hadve 153 · faydalı 850 mm;12.19;14.34;850;1500;153;283;trap;153;283;60;150;850;1.0
TRP-153-850-1.25;YHT;153/850;1.25;153/850 × 1,25 mm;hadve 153 · faydalı 850 mm;15.13;17.8;850;1500;153;283;trap;153;283;60;150;850;1.25
TRP-153-850-1.5;YHT;153/850;1.5;153/850 × 1,5 mm;hadve 153 · faydalı 850 mm;18.07;21.26;850;1500;153;283;trap;153;283;60;150;850;1.5
SNS-18-76-0.4;SNS;18/76;0.4;18/76 × 0,4 mm;hadve 18 · faydalı 1064 mm;4.27;4.01;1064;1250;18;76.2;sin;18;76.2;0;0;1064;0.4
SNS-18-76-0.45;SNS;18/76;0.45;18/76 × 0,45 mm;hadve 18 · faydalı 1064 mm;4.76;4.47;1064;1250;18;76.2;sin;18;76.2;0;0;1064;0.45
SNS-18-76-0.5;SNS;18/76;0.5;18/76 × 0,5 mm;hadve 18 · faydalı 1064 mm;5.25;4.93;1064;1250;18;76.2;sin;18;76.2;0;0;1064;0.5
SNS-18-76-0.6;SNS;18/76;0.6;18/76 × 0,6 mm;hadve 18 · faydalı 1064 mm;6.23;5.86;1064;1250;18;76.2;sin;18;76.2;0;0;1064;0.6
SNS-18-76-0.7;SNS;18/76;0.7;18/76 × 0,7 mm;hadve 18 · faydalı 1064 mm;7.21;6.78;1064;1250;18;76.2;sin;18;76.2;0;0;1064;0.7
SNS-18-76-0.8;SNS;18/76;0.8;18/76 × 0,8 mm;hadve 18 · faydalı 1064 mm;8.19;7.7;1064;1250;18;76.2;sin;18;76.2;0;0;1064;0.8
KNT-65-400-0.5;KNT;65/400;0.5;65/400 × 0,5 mm;hadve 65 · faydalı 400 mm;2.1;5.25;400;500;65;400;seam;65;400;0;0;400;0.5
KNT-65-400-0.6;KNT;65/400;0.6;65/400 × 0,6 mm;hadve 65 · faydalı 400 mm;2.49;6.23;400;500;65;400;seam;65;400;0;0;400;0.6
