k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;e;U;d_h;d_b;d_tw;d_tf;d_r
UPE-80;;UPE 80;;UPE 80;80 × 50;7.9;10.07;107.2;25.4;26.8;8.0;3.26;1.59;1.82;0.343;80;50;4;7;10
UPE-100;;UPE 100;;UPE 100;100 × 55;9.8;12.51;206.9;38.2;41.4;10.6;4.07;1.75;1.91;0.402;100;55;4.5;7.5;10
UPE-120;;UPE 120;;UPE 120;120 × 60;12.1;15.42;363.5;55.4;60.6;13.8;4.86;1.9;1.98;0.46;120;60;5;8;12
UPE-140;;UPE 140;;UPE 140;140 × 65;14.5;18.42;599.5;78.7;85.6;18.2;5.71;2.07;2.17;0.52;140;65;5;9;12
UPE-160;;UPE 160;;UPE 160;160 × 70;17.0;21.67;911.1;106.8;113.9;22.6;6.48;2.22;2.27;0.579;160;70;5.5;9.5;12
UPE-180;;UPE 180;;UPE 180;180 × 75;19.7;25.11;1353.5;143.7;150.4;28.6;7.34;2.39;2.47;0.639;180;75;5.5;10.5;12
UPE-200;;UPE 200;;UPE 200;200 × 80;22.8;29.01;1909.4;187.3;190.9;34.4;8.11;2.54;2.56;0.697;200;80;6;11;13
UPE-220;;UPE 220;;UPE 220;220 × 85;26.6;33.87;2682.6;246.4;243.9;42.5;8.9;2.7;2.7;0.756;220;85;6.5;12;13
UPE-240;;UPE 240;;UPE 240;240 × 90;30.2;38.52;3599.0;310.9;299.9;50.1;9.67;2.84;2.79;0.813;240;90;7;12.5;15
UPE-270;;UPE 270;;UPE 270;270 × 95;35.2;44.84;5254.9;401.0;389.2;60.7;10.83;2.99;2.89;0.892;270;95;7.5;13.5;15
UPE-300;;UPE 300;;UPE 300;300 × 100;44.4;56.62;7823.6;537.7;521.6;75.6;11.76;3.08;2.89;0.968;300;100;9.5;15;15
UPE-330;;UPE 330;;UPE 330;330 × 105;53.2;67.77;11008.3;681.5;667.2;89.7;12.74;3.17;2.9;1.043;330;105;11;16;18
UPE-360;;UPE 360;;UPE 360;360 × 110;61.2;77.91;14826.3;843.7;823.7;105.1;13.79;3.29;2.97;1.121;360;110;12;17;18
UPE-400;;UPE 400;;UPE 400;400 × 115;72.2;91.93;20981.8;1044.7;1049.1;122.6;15.11;3.37;2.98;1.218;400;115;13.5;18;18
