stok_kodu;tip;olcu;yukseklik_mm;genislik_mm;et_kalinligi_mm;kg_m;kesit_alani_cm2;Ix_cm4;Iy_cm4;Wx_cm3;Wy_cm3;ix_cm;iy_cm;boya_yuzeyi_m2_m;agirlik_6m_kg;agirlik_12m_kg
KP-15X15X1.2;Kare;15×15×1,2;15;15;1.2;0.49;0.63;0.19;0.19;0.26;0.26;0.55;0.55;0.056;2.95;5.89
KP-15X15X1.5;Kare;15×15×1,5;15;15;1.5;0.59;0.75;0.22;0.22;0.29;0.29;0.54;0.54;0.055;3.54;7.08
KP-15X15X2;Kare;15×15×2;15;15;2;0.74;0.94;0.25;0.25;0.33;0.33;0.51;0.51;0.053;4.41;8.83
KP-20X20X1.2;Kare;20×20×1,2;20;20;1.2;0.68;0.87;0.5;0.5;0.5;0.5;0.76;0.76;0.076;4.08;8.15
KP-20X20X1.5;Kare;20×20×1,5;20;20;1.5;0.83;1.05;0.58;0.58;0.58;0.58;0.74;0.74;0.075;4.96;9.91
KP-20X20X2;Kare;20×20×2;20;20;2;1.05;1.34;0.69;0.69;0.69;0.69;0.72;0.72;0.073;6.3;12.59
KP-25X25X1.2;Kare;25×25×1,2;25;25;1.2;0.87;1.11;1.03;1.03;0.82;0.82;0.96;0.96;0.096;5.21;10.41
KP-25X25X1.5;Kare;25×25×1,5;25;25;1.5;1.06;1.35;1.22;1.22;0.97;0.97;0.95;0.95;0.095;6.37;12.74
KP-25X25X2;Kare;25×25×2;25;25;2;1.36;1.74;1.48;1.48;1.19;1.19;0.92;0.92;0.093;8.18;16.36
KP-25X25X2.5;Kare;25×25×2,5;25;25;2.5;1.64;2.09;1.69;1.69;1.35;1.35;0.9;0.9;0.091;9.84;19.68
KP-25X25X3;Kare;25×25×3;25;25;3;1.89;2.41;1.84;1.84;1.47;1.47;0.87;0.87;0.09;11.34;22.69
KP-30X30X1.2;Kare;30×30×1,2;30;30;1.2;1.06;1.35;1.83;1.83;1.22;1.22;1.17;1.17;0.116;6.34;12.67
KP-30X30X1.5;Kare;30×30×1,5;30;30;1.5;1.3;1.65;2.2;2.2;1.46;1.46;1.15;1.15;0.115;7.78;15.56
KP-30X30X2;Kare;30×30×2;30;30;2;1.68;2.14;2.72;2.72;1.81;1.81;1.13;1.13;0.113;10.07;20.13
KP-30X30X2.5;Kare;30×30×2,5;30;30;2.5;2.03;2.59;3.16;3.16;2.1;2.1;1.1;1.1;0.111;12.19;24.39
KP-30X30X3;Kare;30×30×3;30;30;3;2.36;3.01;3.5;3.5;2.34;2.34;1.08;1.08;0.11;14.17;28.34
KP-35X35X1.5;Kare;35×35×1,5;35;35;1.5;1.53;1.95;3.6;3.6;2.05;2.05;1.36;1.36;0.135;9.19;18.39
KP-35X35X2;Kare;35×35×2;35;35;2;1.99;2.54;4.51;4.51;2.58;2.58;1.33;1.33;0.133;11.95;23.9
KP-35X35X2.5;Kare;35×35×2,5;35;35;2.5;2.42;3.09;5.29;5.29;3.02;3.02;1.31;1.31;0.131;14.55;29.1
KP-35X35X3;Kare;35×35×3;35;35;3;2.83;3.61;5.95;5.95;3.4;3.4;1.28;1.28;0.13;16.99;33.99
KP-35X35X4;Kare;35×35×4;35;35;4;3.57;4.55;6.93;6.93;3.96;3.96;1.23;1.23;0.126;21.42;42.84
KP-40X40X1.5;Kare;40×40×1,5;40;40;1.5;1.77;2.25;5.49;5.49;2.75;2.75;1.56;1.56;0.155;10.61;21.21
KP-40X40X2;Kare;40×40×2;40;40;2;2.31;2.94;6.94;6.94;3.47;3.47;1.54;1.54;0.153;13.83;27.67
KP-40X40X2.5;Kare;40×40×2,5;40;40;2.5;2.82;3.59;8.22;8.22;4.11;4.11;1.51;1.51;0.151;16.9;33.81
KP-40X40X3;Kare;40×40×3;40;40;3;3.3;4.21;9.32;9.32;4.66;4.66;1.49;1.49;0.15;19.82;39.64
KP-40X40X4;Kare;40×40×4;40;40;4;4.2;5.35;11.07;11.07;5.54;5.54;1.44;1.44;0.146;25.19;50.38
KP-45X45X1.5;Kare;45×45×1,5;45;45;1.5;2.0;2.55;7.96;7.96;3.54;3.54;1.77;1.77;0.175;12.02;24.04
KP-45X45X2;Kare;45×45×2;45;45;2;2.62;3.34;10.12;10.12;4.5;4.5;1.74;1.74;0.173;15.72;31.43
KP-45X45X2.5;Kare;45×45×2,5;45;45;2.5;3.21;4.09;12.06;12.06;5.36;5.36;1.72;1.72;0.171;19.26;38.52
KP-45X45X3;Kare;45×45×3;45;45;3;3.77;4.81;13.78;13.78;6.12;6.12;1.69;1.69;0.17;22.65;45.29
